"Horodateur","Tu es en...","Les raisons pour lesquelles tu prends part à un évènement entreprise...","Les domaines d'activités qui t'intéressent le plus (1 = domaine préféré, 9 = moins intéressante) [1]","Les domaines d'activités qui t'intéressent le plus (1 = domaine préféré, 9 = moins intéressante) [2]","Les domaines d'activités qui t'intéressent le plus (1 = domaine préféré, 9 = moins intéressante) [3]","Les domaines d'activités qui t'intéressent le plus (1 = domaine préféré, 9 = moins intéressante) [4]","Les domaines d'activités qui t'intéressent le plus (1 = domaine préféré, 9 = moins intéressante) [5]","Les domaines d'activités qui t'intéressent le plus (1 = domaine préféré, 9 = moins intéressante) [6]","Les domaines d'activités qui t'intéressent le plus (1 = domaine préféré, 9 = moins intéressante) [7]","Les domaines d'activités qui t'intéressent le plus (1 = domaine préféré, 9 = moins intéressante) [8]","Les domaines d'activités qui t'intéressent le plus (1 = domaine préféré, 9 = moins intéressante) [9]","Un domaine n'apparaissant pas dans la question précédente ?","Y a-t-il un type de fonction qui t'intéresse particulièrement dans une entreprise ?
( par ex : R&D, recherche fondamentale, conseil, services et apps, etc... )","Les types d'évènements que tu préfères...","Qu'espères-tu obtenir d'un évènement entreprise","Qu'elles sont les principales choses que tu veux savoir sur une entreprise ?","Une entreprise particulière que tu aimerais rencontrer ?","Es-tu intéressé.e par la création d'un forum ""entreprises publiques"" ? ","Es-tu intéressé.e par la mise en place d'un forum sur le secteur ""énergie et environnement"" ? ","Es-tu intéressé.e par la mise en place d'un forum Start-up","Une dernière chose ? :)"
"2026/03/18 2:18:57 PM UTC+2","1A IC","le domaine d'activité de l'entreprise;la présence d'un repas lors de l'évènement;la présence d'un cocktail lors de l'évènement","Aéronautique","Aéronautique","Numérique, Informatique et IA","Énergie","Environnement","Transports","Économie et Finance","Aéronautique","Mode et Luxe","Aérospatial","","les amphis entreprises;les visites de site;les forums","Des connaissances générales sur l’entreprise et sur ses activités","","Ariane/airbus/thales/the exploration company/littéralement n’importe quelle entreprise du spatial","oui","Non","oui","Le spatial pitié le spatial"
"2026/03/18 2:21:13 PM UTC+2","1A IC","la renommée de l'entreprise;le domaine d'activité de l'entreprise;le fait de ne pas connaître l'entreprise présentée;la présence d'un repas lors de l'évènement;la présence d'un cocktail lors de l'évènement","Santé et Biotechnologies","Transports","Environnement","Énergie","Numérique, Informatique et IA","Robotique et Automatisation","Économie et Finance","Aéronautique","Mode et Luxe","","","les amphis entreprises;les visites de site","me faire une idée, découvrir une entreprise","les fonctions qu’on peut y exercer, les perspectives de carrière…","","oui","oui","pourquoi pas",""
"2026/03/18 2:24:00 PM UTC+2","1A IC","en vrai j’y participe pas ","Transports","Aéronautique","Énergie","Santé et Biotechnologies","Environnement","Robotique et Automatisation","Mode et Luxe","Numérique, Informatique et IA","Économie et Finance","","","je sais pas","","","","je sais pas","oui","oui",""
"2026/03/18 2:37:32 PM UTC+2","1A IC","la présence d'un repas lors de l'évènement;la présence d'un cocktail lors de l'évènement","Aéronautique","Énergie","Transports","Environnement","Économie et Finance","Numérique, Informatique et IA","Robotique et Automatisation","Mode et Luxe","Santé et Biotechnologies","","","les tables rondes","Des infos sur à quoi ressemble au quotidien un métier après les mines","","","oui","oui","oui","Merci le pôle N "
"2026/03/18 2:38:53 PM UTC+2","1A IC","la renommée de l'entreprise;le domaine d'activité de l'entreprise;la présence d'un repas lors de l'évènement;la présence d'un cocktail lors de l'évènement","Aéronautique","Robotique et Automatisation","Santé et Biotechnologies","Environnement","Transports","Énergie","Économie et Finance","Numérique, Informatique et IA","Mode et Luxe","","tous les métiers dans l’aéronautique ","les tables rondes;les études de cas","Obtenir un truc vraiment interactif et assez concret sur ce que quelqu’un fait ","Son domaine, ses perspectives à l’étranger, ce qu’elle fait, son engagement ","Airbus","Pas opposée ","oui","Pas opposée ",""
"2026/03/18 2:43:26 PM UTC+2","1A IC","le fait de ne pas connaître l'entreprise présentée;la présence d'un repas lors de l'évènement","Santé et Biotechnologies","Mode et Luxe","Environnement","Économie et Finance","Numérique, Informatique et IA","Robotique et Automatisation","Aéronautique","Énergie","Transports","","","les amphis entreprises","","","","non","oui","oui",""
"2026/03/18 2:56:12 PM UTC+2","3A IC","le domaine d'activité de l'entreprise;la politique éthique de l'entreprise;la recherche d'un stage;le fait de ne pas connaître l'entreprise présentée","Numérique, Informatique et IA","Robotique et Automatisation","Environnement","Énergie","Transports","Santé et Biotechnologies","Aéronautique","Économie et Finance","Mode et Luxe","","","les amphis entreprises;les visites de site","","","","oui","oui","oui",""
"2026/03/18 3:15:39 PM UTC+2","1A IC","le domaine d'activité de l'entreprise;la recherche d'un stage;le fait de ne pas connaître l'entreprise présentée","Énergie","Santé et Biotechnologies","Aéronautique","Transports","Robotique et Automatisation","Santé et Biotechnologies","Environnement","Économie et Finance","Mode et Luxe","Recherche ( je sais pas si c'est possible)","R&D, recherche foncamentale","les amphis entreprises;les visites de site;les forums","","","","oui","oui","oui","Merci"
"2026/03/18 3:23:23 PM UTC+2","1A IC","le domaine d'activité de l'entreprise;la politique éthique de l'entreprise;le fait de ne pas connaître l'entreprise présentée;la présence d'un repas lors de l'évènement","Environnement","Énergie","Santé et Biotechnologies","Robotique et Automatisation","Numérique, Informatique et IA","Économie et Finance","Mode et Luxe","Transports","Aéronautique","","","les amphis entreprises;les visites de site","","","","oui","oui","non",""
"2026/03/18 3:44:20 PM UTC+2","1A IC","le domaine d'activité de l'entreprise;la recherche d'un stage","Numérique, Informatique et IA","Économie et Finance","Énergie","Aéronautique","Transports","Environnement","Robotique et Automatisation","Santé et Biotechnologies","Mode et Luxe","Conseil ","","les amphis entreprises;les études de cas","Des contacts et une vision sur la réalité du métier ","Le processus d’embauche, le salaire, les opportunités d’évolution ","","oui","Non","non","J’arrive en 201 "
"2026/03/18 3:49:14 PM UTC+2","1A IC","le domaine d'activité de l'entreprise;la politique éthique de l'entreprise;la présence d'un repas lors de l'évènement;la présence d'un cocktail lors de l'évènement","Environnement","Énergie","Transports","Santé et Biotechnologies","Aéronautique","Économie et Finance","Numérique, Informatique et IA","Robotique et Automatisation","Mode et Luxe","","","les tables rondes;les visites de site;les forums","M’apporter une curiosité","Le quotidien de ceux qui y travaillent","Dans le public (c’est pas une entreprise je sais mais voila)","oui","oui","non",""
"2026/03/18 5:40:34 PM UTC+2","1A IC","le domaine d'activité de l'entreprise;la politique éthique de l'entreprise;le fait de ne pas connaître l'entreprise présentée","Environnement","Énergie","Transports","Mode et Luxe","Robotique et Automatisation","Économie et Finance","Santé et Biotechnologies","Numérique, Informatique et IA","Aéronautique","","","les forums","","","","oui","oui","non",""
"2026/03/18 6:50:34 PM UTC+2","1A IC","la renommée de l'entreprise;le domaine d'activité de l'entreprise;le fait de ne pas connaître l'entreprise présentée;la présence d'un repas lors de l'évènement;la présence d'un cocktail lors de l'évènement","Aéronautique","Santé et Biotechnologies","Économie et Finance","Numérique, Informatique et IA","Énergie","Mode et Luxe","Robotique et Automatisation","Environnement","Transports","","","les tables rondes;les visites de site;les études de cas","Des infos sur le déroulé du recrutement ","domaine d’activité, stratégies futures et actuelles, concurrents et comment ils trouvent des solutions ","Airbus","non","oui","oui",""
"2026/03/18 8:49:56 PM UTC+2","1A IC","la renommée de l'entreprise;le domaine d'activité de l'entreprise;le fait de ne pas connaître l'entreprise présentée;la présence d'un repas lors de l'évènement;la présence d'un cocktail lors de l'évènement","Aéronautique","Transports","Énergie","Numérique, Informatique et IA","Robotique et Automatisation","Mode et Luxe","Santé et Biotechnologies","Environnement","Économie et Finance","","R&D, bureaux d'étude... les métiers très scientifiques (mais en vrai tout est intéressant pour ce rendre compte des différents métiers)","les amphis entreprises;les visites de site;les forums","Voir ce que font des gens qui sortent des Mines, discuter avec les intervenants (ou juste poser des questions), poser des questions sur les stages","","","oui","oui","non","Merci pour votre investissement : )"
"2026/03/18 10:57:47 PM UTC+2","3A IC","la renommée de l'entreprise;le domaine d'activité de l'entreprise;la politique éthique de l'entreprise;la recherche d'un stage","Numérique, Informatique et IA","Environnement","Santé et Biotechnologies","Énergie","Robotique et Automatisation","Transports","Économie et Finance","Aéronautique","Mode et Luxe","","Recherche","les tables rondes;les forums","Des contacts, des informations sur les processus de recrutement","Culture d'entreprise, ambiance de travail, les différentes activités de l'entreprise, les perspectives d'évolution de carrière","","oui","oui","oui","Merci pour votre travail le BDE !"
"2026/03/19 8:45:59 AM UTC+2","3A IC","le domaine d'activité de l'entreprise;le fait de ne pas connaître l'entreprise présentée","Énergie","Environnement","Santé et Biotechnologies","Économie et Finance","Transports","Aéronautique","Robotique et Automatisation","Mode et Luxe","Mode et Luxe","","","les amphis entreprises;les tables rondes","","","","oui","oui","oui",""
"2026/03/19 2:18:04 PM UTC+2","2A IC","le domaine d'activité de l'entreprise;la politique éthique de l'entreprise","Énergie","Environnement","Transports","Robotique et Automatisation","Aéronautique","Numérique, Informatique et IA","Mode et Luxe","Santé et Biotechnologies","Économie et Finance","","","les amphis entreprises;les forums","","","","oui","oui","non",""
"2026/03/19 2:25:12 PM UTC+2","1A IC","la renommée de l'entreprise;le domaine d'activité de l'entreprise;la présence d'un repas lors de l'évènement","Transports","Robotique et Automatisation","Énergie","Aéronautique","Santé et Biotechnologies","Environnement","Économie et Finance","Numérique, Informatique et IA","Mode et Luxe","Génie Civil, BTP, Génie mécanique","","les tables rondes","Avoir une idée plus précise de ce qu'on fait concrètement si on travaille chez eux. Quels métiers ils proposent et à quoi ressemble une semaine type chez eux.","","","oui","jsp","oui",""
"2026/03/19 2:35:21 PM UTC+2","1A IC","la présence d'un repas lors de l'évènement;la présence d'un cocktail lors de l'évènement","Transports","Énergie","Aéronautique","Robotique et Automatisation","Environnement","Économie et Finance","Numérique, Informatique et IA","Mode et Luxe","Santé et Biotechnologies","Automobile","","les amphis entreprises","","","Une écurie issue du sport auto mais trop niche je suppos ","non","Non","non",""
"2026/03/19 2:48:26 PM UTC+2","1A IC","la renommée de l'entreprise;le domaine d'activité de l'entreprise;le fait de ne pas connaître l'entreprise présentée;la présence d'un repas lors de l'évènement","Santé et Biotechnologies","Robotique et Automatisation","Numérique, Informatique et IA","Économie et Finance","Environnement","Aéronautique","Énergie","Transports","Mode et Luxe","","","les amphis entreprises;les forums;les études de cas","","","","oui","pas plus que ça","oui",""
"2026/03/19 2:56:09 PM UTC+2","1A IC","la renommée de l'entreprise;le domaine d'activité de l'entreprise;la politique éthique de l'entreprise;le fait de ne pas connaître l'entreprise présentée;la présence d'un repas lors de l'évènement;la présence d'un cocktail lors de l'évènement","Environnement","Énergie","Économie et Finance","Aéronautique","Santé et Biotechnologies","Mode et Luxe","Robotique et Automatisation","Numérique, Informatique et IA","Transports","","Recherche fondamentale","les tables rondes;les forums","Découvrir de nouveaux métiers ","Son mode de fonctionnement, son domaine d'activités et les postes qu'elle peut me proposer ","Pasqal, Candela ou n'importe quelle entreprise spécialisée dans une technologie physique (quantique, semi conducteur ou autre)","oui","oui","non","Merci pour le sondage !"
"2026/03/19 2:59:01 PM UTC+2","1A IC","la renommée de l'entreprise;la présence d'un repas lors de l'évènement;la présence d'un cocktail lors de l'évènement","Numérique, Informatique et IA","Énergie","Aéronautique","Robotique et Automatisation","Transports","Économie et Finance","Environnement","Santé et Biotechnologies","Mode et Luxe","","","les amphis entreprises;les visites de site","","","","oui","oui","oui",""
"2026/03/19 5:11:42 PM UTC+2","2A IC","la renommée de l'entreprise;le domaine d'activité de l'entreprise;la recherche d'un stage;la présence d'un repas lors de l'évènement;la présence d'un cocktail lors de l'évènement","Mode et Luxe","Environnement","Énergie","Santé et Biotechnologies","Robotique et Automatisation","Économie et Finance","Numérique, Informatique et IA","Transports","Aéronautique","","","les amphis entreprises;les tables rondes;les visites de site;les forums;les études de cas","","","","oui","oui","oui","pq d’autres forums alors qu’il y a le trium ?"
"2026/03/20 10:08:58 AM UTC+2","1A IC","la renommée de l'entreprise;le domaine d'activité de l'entreprise;la politique éthique de l'entreprise;le fait de ne pas connaître l'entreprise présentée;la présence d'un repas lors de l'évènement","Énergie","Environnement","Transports","Aéronautique","Économie et Finance","Numérique, Informatique et IA","Santé et Biotechnologies","Robotique et Automatisation","Mode et Luxe","Astrophysique","Recherche et Manager de projets intéressants ","les amphis entreprises;les visites de site;les études de cas","Plus de clarté sur les activités d'une entreprise, découvrir des domaines d'une entreprise que je ne soupçonnais pas ","Caractères éthique et environnemental de leurs activités, croissance, embauche","Les entreprises qu'on nous présente sont super, notamment Safran :)","oui","oui","non","Option 1"
"2026/03/21 8:15:13 PM UTC+2","2A IC","le domaine d'activité de l'entreprise;la politique éthique de l'entreprise;la recherche d'un stage;la présence d'un repas lors de l'évènement","Environnement","Énergie","Transports","Numérique, Informatique et IA","Économie et Finance","Santé et Biotechnologies","Robotique et Automatisation","Aéronautique","Mode et Luxe","","","les tables rondes;les visites de site;les études de cas","","","Sublime énergie","oui","oui","Pourquoi pas","[insérer un commentaire pro-sobriété et fin des partenaires louches (j’ai la flemme)]
Bon courage !"
"2026/03/23 11:56:10 AM UTC+2","1A IC","le domaine d'activité de l'entreprise;la politique éthique de l'entreprise;la présence d'un repas lors de l'évènement","Environnement","Aéronautique","Énergie","Santé et Biotechnologies","Robotique et Automatisation","Transports","Mode et Luxe","Économie et Finance","Numérique, Informatique et IA","","Recherche fondamentale, R&D","les amphis entreprises;les visites de site;les forums;les études de cas","Découvrir l'entreprise avec plus de détails que ce que j'avais en tête ","Son domaine et son impact environnementale","","oui","oui","non",""
"2026/03/23 2:11:04 PM UTC+2","1A IC","la renommée de l'entreprise;le domaine d'activité de l'entreprise;la recherche d'un stage;la présence d'un repas lors de l'évènement;la présence d'un cocktail lors de l'évènement","Économie et Finance","Santé et Biotechnologies","Mode et Luxe","Aéronautique","Énergie","Numérique, Informatique et IA","Transports","Environnement","Robotique et Automatisation","","","les amphis entreprises;les forums","Découverte de ce que peut offrir l’entreprise, stages","","","non","oui","oui",""
"2026/03/23 11:14:55 PM UTC+2","1A IC","la renommée de l'entreprise;la recherche d'un stage;la présence d'un repas lors de l'évènement","Économie et Finance","Mode et Luxe","Aéronautique","Énergie","Transports","Santé et Biotechnologies","Transports","Robotique et Automatisation","Numérique, Informatique et IA","","","les amphis entreprises;les forums","","Les postes, conditions de travail, équilibre vie pro/vie perso ","","oui","Non","oui",""
"2026/03/23 11:21:15 PM UTC+2","1A IC","la renommée de l'entreprise;le domaine d'activité de l'entreprise","Énergie","Environnement","Transports","Aéronautique","Économie et Finance","Numérique, Informatique et IA","Robotique et Automatisation","Santé et Biotechnologies","Mode et Luxe","","","les amphis entreprises","","","","oui","oui","oui",""
"2026/03/23 11:22:06 PM UTC+2","1A IC","la renommée de l'entreprise;le domaine d'activité de l'entreprise;la politique éthique de l'entreprise;la présence d'un repas lors de l'évènement;la présence d'un cocktail lors de l'évènement","Mode et Luxe","Santé et Biotechnologies","Économie et Finance","Énergie","Environnement","Aéronautique","Numérique, Informatique et IA","Robotique et Automatisation","Transports","","","les amphis entreprises","","","","non","Non","oui",""
"2026/03/23 11:23:04 PM UTC+2","1A IC","le domaine d'activité de l'entreprise;la politique éthique de l'entreprise;la recherche d'un stage;le fait de ne pas connaître l'entreprise présentée;la présence d'un repas lors de l'évènement","Santé et Biotechnologies","Énergie","Transports","Environnement","Robotique et Automatisation","Numérique, Informatique et IA","Aéronautique","Économie et Finance","Mode et Luxe","","Recherche fondamentale, ","les amphis entreprises;les visites de site","De quoi me donner envie d'être ingénieur chez eux","Ethique, capacité à innover, place des collaborateurs, salaire, possibilité d'évolution ","OranoMed (la branche des therapies médicales d'Orano), SNCF,...","oui","oui","oui","Merci pour tout, ton travail au sein du BDE fera vraiment la différence pour notre promotion, j'en suis certain. Courage et merci encore"
"2026/03/23 11:40:17 PM UTC+2","1A IC","le domaine d'activité de l'entreprise;la politique éthique de l'entreprise;la recherche d'un stage;la présence d'un repas lors de l'évènement","Énergie","Environnement","Transports","Aéronautique","Robotique et Automatisation","Numérique, Informatique et IA","Économie et Finance","Santé et Biotechnologies","Mode et Luxe","Physique fondamentale","Recherche fondamentale en physique","les amphis entreprises;les tables rondes;les visites de site","Des informations","Qu'est ce qu'on peut faire en tant qu'ingénieur dans cette entreprise","","oui","oui","non",""
"2026/03/23 11:48:19 PM UTC+2","ISUP","la renommée de l'entreprise;le domaine d'activité de l'entreprise;le fait de ne pas connaître l'entreprise présentée;la présence d'un repas lors de l'évènement;la présence d'un cocktail lors de l'évènement","Mode et Luxe","Santé et Biotechnologies","Robotique et Automatisation","Numérique, Informatique et IA","Économie et Finance","Transports","Aéronautique","Environnement","Énergie","","","les visites de site","","","","non","oui","oui",""
"2026/03/23 11:53:58 PM UTC+2","1A IC","le domaine d'activité de l'entreprise;la présence d'un repas lors de l'évènement","Numérique, Informatique et IA","Robotique et Automatisation","Économie et Finance","Aéronautique","Transports","Santé et Biotechnologies","Mode et Luxe","Énergie","Environnement","","","les amphis entreprises","","","","oui","Non","oui",""
"2026/03/23 11:57:37 PM UTC+2","1A IC","la renommée de l'entreprise;le domaine d'activité de l'entreprise;la politique éthique de l'entreprise;la recherche d'un stage;le fait de ne pas connaître l'entreprise présentée;la présence d'un repas lors de l'évènement","Santé et Biotechnologies","Numérique, Informatique et IA","Environnement","Énergie","Robotique et Automatisation","Aéronautique","Transports","Mode et Luxe","Économie et Finance","","","les amphis entreprises","Une idée plus claire d’en quoi consiste un métier qui pourrait m’intéresser","Son fonctionnement, les conditions, la politique éthique jsp","","oui","oui","non",""
"2026/03/24 12:01:11 AM UTC+2","1A IC","la renommée de l'entreprise;le domaine d'activité de l'entreprise;la présence d'un repas lors de l'évènement","Numérique, Informatique et IA","Économie et Finance","Robotique et Automatisation","Santé et Biotechnologies","Aéronautique","Énergie","Environnement","Transports","Mode et Luxe","","","les forums;les études de cas","Un stage ou des informations sur comment obtenir un stage","","Mistral AI","non","Non","oui",""
"2026/03/24 12:15:52 AM UTC+2","1A IC","le domaine d'activité de l'entreprise;la recherche d'un stage;le fait de ne pas connaître l'entreprise présentée;la présence d'un repas lors de l'évènement","Robotique et Automatisation","Santé et Biotechnologies","Aéronautique","Transports","Énergie","Environnement","Économie et Finance","Numérique, Informatique et IA","Mode et Luxe","","R&D","les amphis entreprises;les visites de site","Des infos. Des vrais infos internes ( genre le mec de McKinsey qui dit que c’est atroce )","Équilibre vie pro vie perso + potentiel d’évolution","Disneyland Paris ","non","Non","oui",""
"2026/03/24 1:41:31 AM UTC+2","1A IC","le domaine d'activité de l'entreprise;la politique éthique de l'entreprise;la présence d'un repas lors de l'évènement","Énergie","Environnement","Transports","Santé et Biotechnologies","Robotique et Automatisation","Numérique, Informatique et IA","Aéronautique","Économie et Finance","Mode et Luxe","","","les amphis entreprises","","","","oui","oui","non",""
"2026/03/24 1:46:03 AM UTC+2","1A IC","la politique éthique de l'entreprise;la présence d'un repas lors de l'évènement","Environnement","Aéronautique","Énergie","Numérique, Informatique et IA","Économie et Finance","Transports","Robotique et Automatisation","Santé et Biotechnologies","Mode et Luxe","","","les amphis entreprises","","","","non","Non","non",""
"2026/03/24 10:01:59 AM UTC+2","1A IC","le domaine d'activité de l'entreprise;la politique éthique de l'entreprise;la présence d'un repas lors de l'évènement","Énergie","Environnement","Numérique, Informatique et IA","Robotique et Automatisation","Santé et Biotechnologies","Aéronautique","Économie et Finance","Transports","Mode et Luxe","","","les tables rondes;les forums","Des informations sur la vie pro et comment ça se passe vrmt avec un retour d’expérience ","","Orano mais on l’a déjà ","oui","oui","oui",""
"2026/03/24 10:25:32 AM UTC+2","1A IC","la politique éthique de l'entreprise;le fait de ne pas connaître l'entreprise présentée;la présence d'un repas lors de l'évènement","Numérique, Informatique et IA","Santé et Biotechnologies","Environnement","Économie et Finance","Énergie","Robotique et Automatisation","Transports","Aéronautique","Mode et Luxe","","Management","les amphis entreprises;les forums","Des contacts, une meilleure compréhension de la vision de l’entreprise","Les possibilités d’évolution ","Framatome","non","Non","oui",""
"2026/03/24 10:30:25 AM UTC+2","2A IC","le domaine d'activité de l'entreprise;la politique éthique de l'entreprise;la recherche d'un stage","Environnement","Environnement","Énergie","Énergie","Santé et Biotechnologies","Robotique et Automatisation","Numérique, Informatique et IA","Aéronautique","Économie et Finance","","","les amphis entreprises;les visites de site","","","","oui","Environnement au sens large, pas juste l'énergie","non",""
"2026/03/24 10:35:42 AM UTC+2","2A IC","la renommée de l'entreprise;le domaine d'activité de l'entreprise;la recherche d'un stage;la présence d'un repas lors de l'évènement;la présence d'un cocktail lors de l'évènement","Énergie","Environnement","Transports","Numérique, Informatique et IA","Économie et Finance","Aéronautique","Robotique et Automatisation","Santé et Biotechnologies","Mode et Luxe","","R&D, conseil, politiques publiques tournées vers la science ","les amphis entreprises","Découvrir un domaine, secteur… Et faciliter une obtention de stage.","","RTE","oui","oui","non",""
"2026/03/24 10:41:31 AM UTC+2","2A IC","le domaine d'activité de l'entreprise;la politique éthique de l'entreprise;la recherche d'un stage;le fait de ne pas connaître l'entreprise présentée;la présence d'un repas lors de l'évènement;la présence d'un cocktail lors de l'évènement","Numérique, Informatique et IA","Robotique et Automatisation","Environnement","Énergie","Transports","Aéronautique","Santé et Biotechnologies","Mode et Luxe","Économie et Finance","juste je précise j'aime pas les startups IA à la con et les data science (sans jugement là pour le coup), mais comme bah informatique était pas dissocié de IA....","recherche / technique","les amphis entreprises;les tables rondes","Des réponses à certaines questions, des contacts","J'aimerais juste que les gens qui viennent nous parler arrêtent de nous prendre pour des guignols en faisant du greenwashing à outrance. L'année dernière un employé présentait la stratégie verte de son entreprise et donnait les objectif à atteindre en 2025 (on devait être en novembre 2024). Respectueusement, je lui demande où en sont ces objectifs puisque l'ultimatum imposé approche, et on me baragouine une réponse pas satisfaisante du tout... 
Je sais que les politiques ne donnent pas vraiment l'exemple en matière de bullshit mais ptn on est des gens intelligents, faites usage de ça quoi !?
Désolé pour le pavé mais c'est important amha ","nope","oui","oui","oui","Je t'aime trop Erhel épouse moi (no homo)"
"2026/03/24 10:47:20 AM UTC+2","1A IC","le domaine d'activité de l'entreprise;la politique éthique de l'entreprise;la présence d'un repas lors de l'évènement","Environnement","Énergie","Numérique, Informatique et IA","Robotique et Automatisation","Transports","Santé et Biotechnologies","Aéronautique","Mode et Luxe","Économie et Finance","Audiovisuel ou multimédia en 2 ou 3, conseil mais ca m’interresse pas tant que ça ","R&D mais en vrai jsp","les visites de site;les forums","Connaître les entreprises que je ne connais pas + Savoir si elles sont éthiques ","Si le domaine m'intéresse et si l'entreprise prône et agis pour les mêmes valeurs morale que moi","","oui","oui","oui","À Centrale (si je me trompe pas) ils ont un forum constitué uniquement d'entreprises censées être éthiques ou dont le but vise à protéger la planète. Je ne sais pas dans quelle mesure il serait possible d’en organiser aussi, ou de participer au leur "
"2026/03/24 10:54:40 AM UTC+2","1A IC","J'y vais pas...","Énergie","Numérique, Informatique et IA","Environnement","Aéronautique","Transports","Économie et Finance","Santé et Biotechnologies","Robotique et Automatisation","Mode et Luxe","","","Je n'y vais pas","","","","oui","Non","oui","J'ai répondu pour faire plaisir. Je ne suis pas réellement intéressé par ces événements car je n'ai aucune vision sur mon avenir"
"2026/03/24 11:04:36 AM UTC+2","2A IC","la renommée de l'entreprise;le domaine d'activité de l'entreprise;la recherche d'un stage;la présence d'un repas lors de l'évènement;la présence d'un cocktail lors de l'évènement","Énergie","Transports","Environnement","Numérique, Informatique et IA","Santé et Biotechnologies","Robotique et Automatisation","Économie et Finance","Mode et Luxe","Aéronautique","","R&D, gestion de projet, stratégie","les amphis entreprises;les tables rondes;les visites de site","Obtenir des contacts, être inspiré par les carrières, apprendre des choses sur l’entreprise et le secteur ","Valeurs, projets, contacts des mines","Edf, banque mondiale, sncf, siemens","oui","oui","non","Merci :)"
"2026/03/24 12:03:05 PM UTC+2","1A IC","la renommée de l'entreprise;le domaine d'activité de l'entreprise;la politique éthique de l'entreprise","Environnement","Transports","Énergie","Santé et Biotechnologies","Numérique, Informatique et IA","Aéronautique","Économie et Finance","Robotique et Automatisation","Mode et Luxe","","Tout ce qui est recherche","les amphis entreprises;les visites de site","","- Quel impact l'entreprise juge-t-elle avoir sur le monde qui l'entoure.
- À quoi ça ressemble concrètement de travailler au sein de cette entreprise pour un poste donné (quotidien, missions,...)","","oui","oui","non",""
"2026/03/24 12:47:20 PM UTC+2","2A IC","la renommée de l'entreprise;le domaine d'activité de l'entreprise;la recherche d'un stage;le fait de ne pas connaître l'entreprise présentée","Énergie","Robotique et Automatisation","Numérique, Informatique et IA","Économie et Finance","Transports","Aéronautique","Environnement","Santé et Biotechnologies","Mode et Luxe","","","les amphis entreprises;les visites de site;les forums","","","","non","oui","oui",""
"2026/03/24 1:58:20 PM UTC+2","2A IC","le domaine d'activité de l'entreprise;la politique éthique de l'entreprise","Transports","Environnement","Aéronautique","Robotique et Automatisation","Énergie","Santé et Biotechnologies","Numérique, Informatique et IA","Économie et Finance","Mode et Luxe","","R&D","les tables rondes;les visites de site","","","ESA","oui","oui","non","Oui oui c'est l'asti + forum publique faut trop en faire unnnnnn"
"2026/03/24 2:06:34 PM UTC+2","1A IC","la renommée de l'entreprise;le domaine d'activité de l'entreprise;la présence d'un repas lors de l'évènement;la présence d'un cocktail lors de l'évènement","Énergie","Numérique, Informatique et IA","Robotique et Automatisation","Transports","Environnement","Aéronautique","Économie et Finance","Santé et Biotechnologies","Mode et Luxe","","Métiers pluridisciplinaires à l’interface de plusieurs métiers ","les amphis entreprises;les visites de site","Concrètement à quoi ressemble son job","Son fonctionnement, l’envers du décors ","","oui","oui","oui",""
"2026/03/24 4:02:47 PM UTC+2","1A IC","le domaine d'activité de l'entreprise;la recherche d'un stage;la présence d'un repas lors de l'évènement;la présence d'un cocktail lors de l'évènement","Aéronautique","Énergie","Économie et Finance","Robotique et Automatisation","Transports","Numérique, Informatique et IA","Santé et Biotechnologies","Mode et Luxe","Environnement","Le conseil","","les amphis entreprises;les visites de site","","Le salaire et les avantages","Dassault Aviation, Airbus, Ariane","non","Non","oui",""
"2026/03/24 4:06:44 PM UTC+2","1A IC","la renommée de l'entreprise;le domaine d'activité de l'entreprise;le fait de ne pas connaître l'entreprise présentée;la présence d'un repas lors de l'évènement;la présence d'un cocktail lors de l'évènement","Numérique, Informatique et IA","Robotique et Automatisation","Économie et Finance","Énergie","Transports","Aéronautique","Santé et Biotechnologies","Mode et Luxe","Environnement","Conseil","","les amphis entreprises;les tables rondes;les visites de site;les forums;les études de cas","Découvrir l'entreprise et possiblement des contacts/opportunité de stages","Domaine, conditions de travail, salaire, avantages","","oui","Non","oui",""
"2026/03/24 4:16:58 PM UTC+2","1A IC","la renommée de l'entreprise;le domaine d'activité de l'entreprise;le fait de ne pas connaître l'entreprise présentée;la présence d'un repas lors de l'évènement;la présence d'un cocktail lors de l'évènement","Numérique, Informatique et IA","Environnement","Mode et Luxe","Santé et Biotechnologies","Robotique et Automatisation","Économie et Finance","Transports","Énergie","Aéronautique","","","les amphis entreprises","","","","oui","oui","non",""
"2026/03/24 6:57:52 PM UTC+2","2A IC","le domaine d'activité de l'entreprise;la politique éthique de l'entreprise;la recherche d'un stage","Environnement","Énergie","Transports","Économie et Finance","Santé et Biotechnologies","Numérique, Informatique et IA","Robotique et Automatisation","Mode et Luxe","Aéronautique","","","les amphis entreprises;les forums","","","","oui","oui","non",""
"2026/03/24 7:47:22 PM UTC+2","2A IC","la renommée de l'entreprise;le domaine d'activité de l'entreprise;la recherche d'un stage;la présence d'un repas lors de l'évènement","Énergie","Environnement","Aéronautique","Robotique et Automatisation","Transports","Économie et Finance","Numérique, Informatique et IA","Santé et Biotechnologies","Mode et Luxe","","R&D","les tables rondes;les visites de site","Un contact dans l'entreprise pour un potentiel stage","","","oui","oui","non",""
